#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-06-19 00:14:44
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-06-19 00:14:44 101.200.190.54 GET / - 8008 - 42.156.251.185 spiderman - 302 0 0 2370
2017-06-19 01:17:09 101.200.190.54 GET /scripts/qqmsg/jQuery.qqmsg.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 89
2017-06-19 01:17:09 101.200.190.54 GET /css/common.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 90
2017-06-19 01:17:10 101.200.190.54 GET /theme/default/style.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 126
2017-06-19 01:17:10 101.200.190.54 GET /Scripts/easyui/themes/default/easyui.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 392
2017-06-19 01:17:12 101.200.190.54 GET /css/icon.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 980
2017-06-19 01:17:12 101.200.190.54 GET /Scripts/jnotify/jquery.jnotify.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 604
2017-06-19 01:17:12 101.200.190.54 GET /Scripts/jnotify/jquery.jnotify.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 300
2017-06-19 01:17:12 101.200.190.54 GET /Scripts/easyui/locale/easyui-lang-zh_CN.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 55
2017-06-19 01:17:13 101.200.190.54 GET /scripts/easyui/easyui-validate-rules.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 466
2017-06-19 01:17:13 101.200.190.54 GET /scripts/easyui/Acesoft.EasyUI.Extensions.js v=18 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 60
2017-06-19 01:17:13 101.200.190.54 GET /Scripts/jQuery.Ajax.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 30
2017-06-19 01:17:13 101.200.190.54 GET /scripts/Business/login.js nguid=3 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 31
2017-06-19 01:17:13 101.200.190.54 GET /Scripts/validate/jquery.validate.min.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 113
2017-06-19 01:17:13 101.200.190.54 GET /Scripts/validate/jQuery.Validate.message_cn.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 261
2017-06-19 01:17:13 101.200.190.54 GET /Scripts/easyui/jquery.easyui.min.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 1358
2017-06-19 01:17:13 101.200.190.54 GET /Scripts/easyui/themes/default/images/linkbutton_bg.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 37
2017-06-19 01:17:14 101.200.190.54 GET /Scripts/easyui/themes/default/images/loading.gif - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 93
2017-06-19 01:17:14 101.200.190.54 GET /common/html/loginForm.html _=1497835029032 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 146
2017-06-19 01:17:14 101.200.190.54 GET /css/icon/16/lock_key.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 228
2017-06-19 01:17:15 101.200.190.54 GET /favicon.ico - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 - 200 0 0 1334
2017-06-19 01:17:15 101.200.190.54 GET /Scripts/easyui/themes/default/images/validatebox_warning.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 53
2017-06-19 01:17:15 101.200.190.54 GET /images/sql2008.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 1432
2017-06-19 01:17:15 101.200.190.54 GET /Scripts/easyui/themes/default/images/combo_arrow.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 206
2017-06-19 01:17:15 101.200.190.54 GET /validateCode.hxl t=4 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 1697
2017-06-19 01:17:15 101.200.190.54 GET /css/userInputBg.jpg - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/common.css 200 0 0 27
2017-06-19 01:17:39 101.200.190.54 GET /scripts/qqmsg/loading.gif - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/scripts/qqmsg/msgbox.css 200 0 0 275
2017-06-19 01:17:39 101.200.190.54 GET /scripts/qqmsg/gb_tip_layer.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/scripts/qqmsg/msgbox.css 200 0 0 280
2017-06-19 01:17:39 101.200.190.54 GET /ashx/loginhandler.ashx username=guanli00&password=guanli&savedays=3&validateCode=wu4s 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 654
2017-06-19 01:17:39 101.200.190.54 GET / - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 345
2017-06-19 01:17:42 101.200.190.54 GET /sys/ashx/ConfigHandler.ashx action=js 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 106
2017-06-19 01:17:42 101.200.190.54 GET /css/css3btn.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 125
2017-06-19 01:17:42 101.200.190.54 GET /Editor/xhEditor/xheditor_lang/zh-cn.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 29
2017-06-19 01:17:42 101.200.190.54 GET /JS/area/PCASClass.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 127
2017-06-19 01:17:42 101.200.190.54 GET /Editor/xhEditor/xheditor-1.2.1.min.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 133
2017-06-19 01:17:42 101.200.190.54 GET /scripts/knockout/knockout.mapping-latest.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 71
2017-06-19 01:17:42 101.200.190.54 GET /scripts/knockout/knockout-2.1.0.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 207
2017-06-19 01:17:42 101.200.190.54 GET /Scripts/business/newlayout.js v=3 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 183
2017-06-19 01:17:42 101.200.190.54 GET /images/logo.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 675
2017-06-19 01:17:43 101.200.190.54 GET /images/ajax-loader.gif - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 1027
2017-06-19 01:17:43 101.200.190.54 GET /images/headbg.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/common.css 200 0 0 1265
2017-06-19 01:17:46 101.200.190.54 GET /ashx/MenuData.ashx - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 3766
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/blank.gif - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 55
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/layout_arrows.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 54
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/arrow_refresh.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 56
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/panel_tools.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 55
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/tabs_icons.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 47
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/award_star_gold_1.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 47
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/accordion_arrows.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 46
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/award_star_gold_2.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 45
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/award_star_bronze_3.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 46
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/award_star_gold_3.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 17
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/award_star_bronze_2.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 63
2017-06-19 01:17:46 101.200.190.54 GET /Scripts/easyui/themes/default/images/tree_icons.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Scripts/easyui/themes/default/easyui.css 200 0 0 60
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/house.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 79
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/sign-in.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 79
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/layers.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 79
2017-06-19 01:17:46 101.200.190.54 GET /css/icon/16/computer_go.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 112
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/comment.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 41
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/equalizer.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 228
2017-06-19 01:17:47 101.200.190.54 GET /Welcome.aspx - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 125
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/bell_add.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 166
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/advancedsettings.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 168
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/house_star.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 134
2017-06-19 01:17:47 101.200.190.54 GET /css/icon/16/folder.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 167
2017-06-19 01:17:47 101.200.190.54 GET /sys/ashx/ConfigHandler.ashx action=js 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 98
2017-06-19 01:17:47 101.200.190.54 GET /BlueVacation/View/News/crud.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 71
2017-06-19 01:17:47 101.200.190.54 GET /Scripts/jeasyui-extensions/jquery-easyui-portal/jquery.portal.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 194
2017-06-19 01:17:47 101.200.190.54 GET /Scripts/jeasyui-extensions/jquery-easyui-portal/portal.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 238
2017-06-19 01:17:47 101.200.190.54 GET /BlueVacation/View/LanEmail/inbox/crud.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 238
2017-06-19 01:17:47 101.200.190.54 GET /BlueVacation/View/News/crud.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 238
2017-06-19 01:17:47 101.200.190.54 GET /BlueVacation/View/LanEmail/inbox/crud.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 125
2017-06-19 01:17:49 101.200.190.54 GET /BlueVacation/Controller/NewsHandler.ashx op=list&type=1&top=6 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 180
2017-06-19 01:17:49 101.200.190.54 GET /BlueVacation/Controller/NewsHandler.ashx op=list&type=2&top=6 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 584
2017-06-19 01:17:49 101.200.190.54 GET /BlueVacation/Controller/LanEmailHandler.ashx op=sendlist&top=6 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 755
2017-06-19 01:17:49 101.200.190.54 GET /BlueVacation/Controller/LanEmailHandler.ashx op=inboxlist&top=6 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 1110
2017-06-19 01:18:10 101.200.190.54 GET /css/icon/16/book.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 166
2017-06-19 01:18:10 101.200.190.54 GET /css/icon/16/application_form_magnify.png - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/css/icon.css 200 0 0 237
2017-06-19 01:18:13 101.200.190.54 GET /BlueVacation/View/SUPPLIERMGR/Supplier/Default.aspx navid=198 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/ 200 0 0 421
2017-06-19 01:18:13 101.200.190.54 GET /scripts/json2.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/BlueVacation/View/SUPPLIERMGR/Supplier/Default.aspx?navid=198 200 0 0 102
2017-06-19 01:18:13 101.200.190.54 GET /Scripts/jQuery.cookie.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/BlueVacation/View/SUPPLIERMGR/Supplier/Default.aspx?navid=198 200 0 0 107
